Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,ON,Ontario,Ontario,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,ON,Ontario,Ontario,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,ON,Ontario,Ontario,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,ON,Ontario,Ontario,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,ON,Ontario,Ontario,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,QC,Quebec,Québec,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,QC,Quebec,Québec,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,QC,Quebec,Québec,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,QC,Quebec,Québec,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,QC,Quebec,Québec,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,QC,Quebec,Québec,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,QC,Quebec,Québec,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,QC,Quebec,Québec,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,QC,Quebec,Québec,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,QC,Quebec,Québec,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,QC,Quebec,Québec,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,QC,Quebec,Québec,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,QC,Quebec,Québec,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,QC,Quebec,Québec,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,QC,Quebec,Québec,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,QC,Quebec,Québec,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,QC,Quebec,Québec,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,QC,Quebec,Québec,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,YK,Yukon,Yukon,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,YK,Yukon,Yukon,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,YK,Yukon,Yukon,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,YK,Yukon,Yukon,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,YK,Yukon,Yukon,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,YK,Yukon,Yukon,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,YK,Yukon,Yukon,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,YK,Yukon,Yukon,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Unspecified,Indéterminé,88,r,88,r
1975,1975,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminé,1510,r,1510,r
1975,1975,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminé,0,a,0,a
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminé,0,a,0,a
1975,1975,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
